combined_sheet,batch,source_workbook,source_sheet,excel_row,account,recommended_action,evidence_url,row_json
summary,1,pat_trigger_search_batch_001.xlsx,Summary,2,,,,"{""Trigger Search Batch 001"": ""Run date"", ""Column_2"": ""2026-05-31"", ""_excel_row"": 2, ""_batch"": 1, ""_source_workbook"": ""pat_trigger_search_batch_001.xlsx"", ""_source_sheet"": ""Summary""}"
summary,1,pat_trigger_search_batch_001.xlsx,Summary,3,,,,"{""Trigger Search Batch 001"": ""Source workbook"", ""Column_2"": ""01-Pat_Top1000_ICP_Territory.xlsx"", ""_excel_row"": 3, ""_batch"": 1, ""_source_workbook"": ""pat_trigger_search_batch_001.xlsx"", ""_source_sheet"": ""Summary""}"
summary,1,pat_trigger_search_batch_001.xlsx,Summary,4,,,,"{""Trigger Search Batch 001"": ""Tracker rows in source"", ""Column_2"": 1000, ""_excel_row"": 4, ""_batch"": 1, ""_source_workbook"": ""pat_trigger_search_batch_001.xlsx"", ""_source_sheet"": ""Summary""}"
summary,1,pat_trigger_search_batch_001.xlsx,Summary,5,,,,"{""Trigger Search Batch 001"": ""Accounts triaged in this batch"", ""Column_2"": 109, ""_excel_row"": 5, ""_batch"": 1, ""_source_workbook"": ""pat_trigger_search_batch_001.xlsx"", ""_source_sheet"": ""Summary""}"
summary,1,pat_trigger_search_batch_001.xlsx,Summary,6,,,,"{""Trigger Search Batch 001"": ""Validated trigger cards"", ""Column_2"": 11, ""_excel_row"": 6, ""_batch"": 1, ""_source_workbook"": ""pat_trigger_search_batch_001.xlsx"", ""_source_sheet"": ""Summary""}"
summary,1,pat_trigger_search_batch_001.xlsx,Summary,7,,,,"{""Trigger Search Batch 001"": ""Send now"", ""Column_2"": 3, ""_excel_row"": 7, ""_batch"": 1, ""_source_workbook"": ""pat_trigger_search_batch_001.xlsx"", ""_source_sheet"": ""Summary""}"
summary,1,pat_trigger_search_batch_001.xlsx,Summary,8,,,,"{""Trigger Search Batch 001"": ""Light research first"", ""Column_2"": 7, ""_excel_row"": 8, ""_batch"": 1, ""_source_workbook"": ""pat_trigger_search_batch_001.xlsx"", ""_source_sheet"": ""Summary""}"
summary,1,pat_trigger_search_batch_001.xlsx,Summary,9,,,,"{""Trigger Search Batch 001"": ""Account research first"", ""Column_2"": 1, ""_excel_row"": 9, ""_batch"": 1, ""_source_workbook"": ""pat_trigger_search_batch_001.xlsx"", ""_source_sheet"": ""Summary""}"
summary,1,pat_trigger_search_batch_001.xlsx,Summary,10,,,,"{""Trigger Search Batch 001"": ""Suppressed / revisit later"", ""Column_2"": 27, ""_excel_row"": 10, ""_batch"": 1, ""_source_workbook"": ""pat_trigger_search_batch_001.xlsx"", ""_source_sheet"": ""Summary""}"
summary,1,pat_trigger_search_batch_001.xlsx,Summary,11,,,,"{""Trigger Search Batch 001"": ""Batch note"", ""Column_2"": ""Top-ranked batch plus selected spillover accounts with strong credentialing/CE fit. Continue with next 100-ranked block on next run."", ""_excel_row"": 11, ""_batch"": 1, ""_source_workbook"": ""pat_trigger_search_batch_001.xlsx"", ""_source_sheet"": ""Summary""}"
summary,2,pat_trigger_search_batch_002.xlsx,Summary,2,,,,"{""Trigger Search Batch 002"": ""Run date"", ""Column_2"": ""2026-05-31"", ""_excel_row"": 2, ""_batch"": 2, ""_source_workbook"": ""pat_trigger_search_batch_002.xlsx"", ""_source_sheet"": ""Summary""}"
summary,2,pat_trigger_search_batch_002.xlsx,Summary,3,,,,"{""Trigger Search Batch 002"": ""Source workbook"", ""Column_2"": ""01-Pat_Top1000_ICP_Territory.xlsx"", ""_excel_row"": 3, ""_batch"": 2, ""_source_workbook"": ""pat_trigger_search_batch_002.xlsx"", ""_source_sheet"": ""Summary""}"
summary,2,pat_trigger_search_batch_002.xlsx,Summary,4,,,,"{""Trigger Search Batch 002"": ""Tracker rows in source"", ""Column_2"": 1000, ""_excel_row"": 4, ""_batch"": 2, ""_source_workbook"": ""pat_trigger_search_batch_002.xlsx"", ""_source_sheet"": ""Summary""}"
summary,2,pat_trigger_search_batch_002.xlsx,Summary,5,,,,"{""Trigger Search Batch 002"": ""Accounts triaged in this batch"", ""Column_2"": 100, ""_excel_row"": 5, ""_batch"": 2, ""_source_workbook"": ""pat_trigger_search_batch_002.xlsx"", ""_source_sheet"": ""Summary""}"
summary,2,pat_trigger_search_batch_002.xlsx,Summary,6,,,,"{""Trigger Search Batch 002"": ""Validated trigger cards"", ""Column_2"": 13, ""_excel_row"": 6, ""_batch"": 2, ""_source_workbook"": ""pat_trigger_search_batch_002.xlsx"", ""_source_sheet"": ""Summary""}"
summary,2,pat_trigger_search_batch_002.xlsx,Summary,7,,,,"{""Trigger Search Batch 002"": ""Send now"", ""Column_2"": 3, ""_excel_row"": 7, ""_batch"": 2, ""_source_workbook"": ""pat_trigger_search_batch_002.xlsx"", ""_source_sheet"": ""Summary""}"
summary,2,pat_trigger_search_batch_002.xlsx,Summary,8,,,,"{""Trigger Search Batch 002"": ""Light research first"", ""Column_2"": 9, ""_excel_row"": 8, ""_batch"": 2, ""_source_workbook"": ""pat_trigger_search_batch_002.xlsx"", ""_source_sheet"": ""Summary""}"
summary,2,pat_trigger_search_batch_002.xlsx,Summary,9,,,,"{""Trigger Search Batch 002"": ""Account research first"", ""Column_2"": 1, ""_excel_row"": 9, ""_batch"": 2, ""_source_workbook"": ""pat_trigger_search_batch_002.xlsx"", ""_source_sheet"": ""Summary""}"
summary,2,pat_trigger_search_batch_002.xlsx,Summary,10,,,,"{""Trigger Search Batch 002"": ""Suppressed / revisit later"", ""Column_2"": 27, ""_excel_row"": 10, ""_batch"": 2, ""_source_workbook"": ""pat_trigger_search_batch_002.xlsx"", ""_source_sheet"": ""Summary""}"
summary,2,pat_trigger_search_batch_002.xlsx,Summary,11,,,,"{""Trigger Search Batch 002"": ""Batch note"", ""Column_2"": ""Ranked accounts 201-300, with one related PASBO trigger included because the batch contained adjacent school-business association signals and the source surfaced a strong current certification-course pattern."", ""_excel_row"": 11, ""_batch"": 2, ""_source_workbook"": ""pat_trigger_search_batch_002.xlsx"", ""_source_sheet"": ""Summary""}"
summary,3,pat_trigger_search_batch_003.xlsx,Summary,2,,,,"{""Trigger Search Batch 003"": ""Run date"", ""Column_2"": ""2026-05-31"", ""_excel_row"": 2, ""_batch"": 3, ""_source_workbook"": ""pat_trigger_search_batch_003.xlsx"", ""_source_sheet"": ""Summary""}"
summary,3,pat_trigger_search_batch_003.xlsx,Summary,3,,,,"{""Trigger Search Batch 003"": ""Source workbook"", ""Column_2"": ""01-Pat_Top1000_ICP_Territory.xlsx"", ""_excel_row"": 3, ""_batch"": 3, ""_source_workbook"": ""pat_trigger_search_batch_003.xlsx"", ""_source_sheet"": ""Summary""}"
summary,3,pat_trigger_search_batch_003.xlsx,Summary,4,,,,"{""Trigger Search Batch 003"": ""Tracker rows in source"", ""Column_2"": 1000, ""_excel_row"": 4, ""_batch"": 3, ""_source_workbook"": ""pat_trigger_search_batch_003.xlsx"", ""_source_sheet"": ""Summary""}"
